title,link,dl-1,dl-2,comment
дз про всякое,https://docs.google.com/document/d/1S7yw-h_NFqCGNvWQwisEdgScdMJerLN1geWsAO_Mxy4,22.12 23:59,22.12 23:59,[ссылка для сдачи](https://forms.gle/FBDpRSmWzBYjEBRi7)
мини-тест по лекции 11,https://docs.google.com/forms/d/e/1FAIpQLScUR28a_Wm3fAsT7cb8Z0m8fVAcg_5VywNgSDyw2XwIot_Srg/viewform,09.12 13:00,13.12 16:20
Roberts 1996 (стр. 1--36),https://semprag.org/index.php/sp/article/view/sp.5.6/pdf,09.12 13:00,13.12 16:20,[форма для вопросов](https://forms.gle/bxvb8M4J2jLuKMZZ7) и [ответы](https://docs.google.com/spreadsheets/d/11ZsUl2K6EyBASY6Thb4YeAL8eBvMeEeogTXWnSH_V94)
практическое дз по ЭДЕ,files/HW2_EDU.docx,09.12 23:59,09.12 23:59,[ссылка для сдачи](https://forms.gle/7zkigttV8TExJ7J96)
мини-тест по лекции 6,https://docs.google.com/forms/d/e/1FAIpQLSduQS090CHaUTN1fDd8hPr8SBzZdVQnlZFOeVRrJ7vSPmeIwA/viewform,25.11 13:00,29.11 16:20
мини-тест по лекции 4,https://docs.google.com/forms/d/e/1FAIpQLScX7t-m1p0hBEpiGiNL8rLxK7bo_rK_9FJ1M0d1mBs-56wQaQ/viewform,18.11 13:00,22.11 16:20
квиз по Витгенштейну,https://docs.google.com/forms/d/e/1FAIpQLScVoglWcDW1iJrmK9xh86i0wO_VJRp8KtCkAris_9oTPZLmUg/viewform,18.09 23:59,18.09 23:59
мини-тест по лекции 2,https://docs.google.com/forms/d/e/1FAIpQLSc-p4oSoiAHjMllLoeSA8-CJEGdyZxvA-2fBp8dXm5KDIVO3Q/viewform,11.11 13:00,15.11 16:20
